Country/Region,Recovered
Afghanistan,3013
Albania,980
Algeria,7074
Andorra,759
Angola,40
Antigua and Barbuda,20
Argentina,7991
Armenia,5226
Australia,6759
Austria,15910
Azerbaijan,4720
Bahamas,67
Bahrain,11109
Bangladesh,15900
Barbados,83
Belarus,25667
Belgium,16392
Belize,16
Benin,188
Bhutan,18
Bolivia,2261
Bosnia and Herzegovina,2063
Botswana,24
Brazil,413916
Brunei,138
Bulgaria,1664
Burkina Faso,765
Burma,165
Burundi,45
Cabo Verde,294
Cambodia,125
Cameroon,0
Canada,0
Central African Republic,38
Chad,706
Chile,121780
China,76420
Colombia,16566
Comoros,97
Congo (Brazzaville),221
Congo (Kinshasa),565
Costa Rica,722
Cote d'Ivoire,2174
Croatia,2130
Cuba,1886
Cyprus,807
Czechia,0
Denmark,11091
Djibouti,2260
Dominica,16
Dominican Republic,12318
Ecuador,21862
Egypt,10289
El Salvador,1438
Equatorial Guinea,200
Eritrea,39
Estonia,1690
Eswatini,236
Ethiopia,401
Fiji,18
Finland,5800
France,71952
Gabon,978
Gambia,22
Georgia,690
Germany,170630
Ghana,3755
Greece,1374
Greenland,13
Grenada,0
Guatemala,1504
Guinea,2942
Guinea-Bissau,153
Guyana,92
Haiti,24
Holy See,12
Honduras,809
Hungary,2355
Iceland,1794
India,135206
Indonesia,12129
Iran,140590
Iraq,6214
Ireland,22698
Israel,15168
Italy,169939
Jamaica,407
Japan,15217
Jordan,663
Kazakhstan,8345
Kenya,1048
Kosovo,913
Kuwait,23288
Kyrgyzstan,1572
Laos,0
Latvia,794
Lebanon,832
Lesotho,2
Liberia,200
Libya,59
Liechtenstein,55
Lithuania,1369
Luxembourg,3904
Madagascar,296
Malawi,55
Malaysia,7014
Maldives,1121
Mali,948
Malta,597
Mauritania,142
Mauritius,325
Mexico,93930
Moldova,5930
Monaco,93
Mongolia,89
Montenegro,315
Morocco,7565
Mozambique,0
Namibia,17
Nepal,674
Netherlands,174
New Zealand,1482
Nicaragua,953
Niger,876
Nigeria,4351
North Macedonia,1664
Norway,8138
Oman,5640
Pakistan,36308
Panama,10977
Papua New Guinea,8
Paraguay,619
Peru,98031
Philippines,4895
Poland,13411
Portugal,21742
Qatar,49413
Romania,15103
Russia,252295
Rwanda,307
Saint Kitts and Nevis,15
Saint Lucia,18
Saint Vincent and the Grenadines,25
San Marino,496
Sao Tome and Principe,135
Saudi Arabia,77954
Senegal,2885
Serbia,11348
Seychelles,11
Sierra Leone,637
Singapore,26532
Slovakia,1404
Slovenia,1359
Somalia,506
South Africa,31505
South Korea,10654
South Sudan,0
Spain,150376
Sri Lanka,1122
Sudan,2202
Suriname,9
Sweden,0
Switzerland,28700
Syria,0
Taiwan*,431
Tajikistan,0
Tanzania,183
Thailand,2981
Timor-Leste,0
Togo,265
Trinidad and Tobago,109
Tunisia,983
Turkey,146839
US,533504
Uganda,119
Ukraine,13257
United Arab Emirates,24017
United Kingdom,1269
Uruguay,758
Uzbekistan,3532
Venezuela,487
Vietnam,320
West Bank and Gaza,410
Western Sahara,6
Yemen,0
Zambia,912
Zimbabwe,49
